x,y,z
453826.42439195083,6071888.631440123,0.44
453826.4244813439,6071889.634175048,0.44
453826.25789505854,6071890.567813064,0.44
453826.25798445166,6071891.57054799,0.44
453826.0913981663,6071892.504186005,0.44
453825.924811881,6071893.437824021,0.44
453825.75822559564,6071894.371462037,0.44
453825.6060870869,6071895.311089509,0.44
453825.48633861745,6071896.264144565,0.44
453825.2584667397,6071897.172376084,0.44
453825.09188045433,6071898.1060141,0.44
453824.92529416905,6071899.039652116,0.44
453824.7587078837,6071899.973290131,0.44
453824.75879727677,6071900.976025057,0.44
453824.5922109915,6071901.909663073,0.44
453824.5923003845,6071902.912397998,0.44
453824.5923897776,6071903.915132924,0.44
453824.5924791707,6071904.91786785,0.44
453824.5925562551,6071905.782534617,0.44
453824.4259699698,6071906.716172633,0.44
453824.26500684785,6071907.6521417815,0.44
453824.1581821102,6071908.556390137,0.44
453824.0928744835,6071909.44811543,0.44
453824.08476496977,6071910.316170103,0.44
453823.92636528256,6071911.246420212,0.44
453823.7597789972,6071912.180058228,0.44
453823.5931927119,6071913.113696244,0.44
453823.593282105,6071914.116431169,0.44
453823.42669581965,6071915.050069185,0.44
453823.42678521277,6071916.0528041115,0.44
453823.4268746058,6071917.055539037,0.44
453823.4269639989,6071918.058273963,0.44
453823.427053392,6071919.061008888,0.44
453823.4271427851,6071920.063743814,0.44
453823.4272321781,6071921.06647874,0.44
453823.26064589276,6071922.000116756,0.44
453823.2607352859,6071923.002851682,0.44
453823.260824679,6071924.005586607,0.44
453823.09423839365,6071924.939224623,0.44
453823.09432778676,6071925.941959549,0.44
453823.09441717976,6071926.944694474,0.44
453823.0945065729,6071927.947429401,0.44
453823.094595966,6071928.9501643265,0.44
453823.09468535904,6071929.952899252,0.44
453823.0947747521,6071930.955634178,0.44
453823.2615275149,6071931.889397855,0.44
453823.261616908,6071932.8921327805,0.44
453823.2617063011,6071933.894867706,0.44
453823.2617956941,6071934.897602632,0.44
453823.428548457,6071935.831366309,0.44
453823.4286378501,6071936.834101235,0.44
453823.4287272431,6071937.83683616,0.44
453823.4288166362,6071938.839571086,0.44
453823.4289060293,6071939.842306011,0.44
453823.4289954224,6071940.845040938,0.44
453823.5957481852,6071941.778804614,0.44
453823.5958375783,6071942.78153954,0.44
453823.59592697135,6071943.784274465,0.44
453823.59601636446,6071944.787009392,0.44
453823.5961057575,6071945.7897443175,0.44
453823.7628585203,6071946.723507994,0.44
453823.76294791343,6071947.726242919,0.44
453823.76303730643,6071948.728977845,0.44
453823.9297900693,6071949.662741522,0.44
453823.9298794624,6071950.665476448,0.44
453824.09663222515,6071951.599240124,0.44
453824.263384988,6071952.533003801,0.44
453824.2634743811,6071953.535738726,0.44
453824.43022714386,6071954.469502403,0.44
453824.5969799067,6071955.40326608,0.44
453824.59706929984,6071956.406001005,0.44
453824.7638220626,6071957.339764683,0.44
453824.7639114557,6071958.342499608,0.44
453824.93066421855,6071959.2762632845,0.44
453825.0129642365,6071960.244976521,0.44
453825.0975063744,6071961.212761887,0.44
453825.2642591372,6071962.146525564,0.44
453825.26434853027,6071963.149260489,0.44
453825.37411721057,6071964.106606212,0.44
